10	19	0.032385919
10	22	0.044370015
10	25	0.043191077
10	28	0.034652947
22	55	0.017617228
22	58	0.015469926
22	112	0.021469516
45	54	0.139747932
46	58	0.076543531
46	106	0.024172793
46	109	0.032585137
46	112	0.043674489
49	73	0.042871335
49	76	0.016853186
49	109	0.028165574
49	112	0.03926604
52	73	0.029433302
52	109	0.030779721
52	112	0.045441239
55	67	0.064860108
55	70	0.061782624
55	73	0.049579201
55	106	0.038601464
55	109	0.039830455
55	112	0.054044849
55	115	0.049889551
55	118	0.026601842
58	73	0.090760038
58	76	0.020113411
58	109	0.030030396
58	112	0.035427165
58	115	0.037747087
73	112	0.026001875
109	139	0.024370982
111	138	0.141289326
115	139	0.24349159
